ip,tags
node_02104,mobile;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-doesnt-work;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;telenor;system-v5
node_02105,mobile;nat;ipv4;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;system-v5
node_02106,satellite;home;nat;adsl;multihomed;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;lte;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;att;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;starlink;openwrt-3;system-v5
node_02107,ipv4;vdsl2;isp;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;telekom;lte;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;system-v5
node_02108,mobile;home;nat;ipv4;wireless-isp;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;lte;system-ipv4-capable;system-ipv4-rfc1918;4g;system-ipv4-stable-30d;system-ipv4-stable-1d;system-v5
node_02109,home;ftth;isp;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;t-mobile;system-v5
node_02110,fibre;home;ipv4;ftth;vodafone;system-resolves-a-correctly;system-doesnt-resolve-aaaa;system-ipv4-works;system-ipv6-works;lte;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;system-v5
node_02111,dsl;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv6-capable;system-ipv6-ula;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;t-mobile;system-v5
node_02112,fibre;home;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;homelab;o2;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;5g;system-v5;fibre-5g-failover
node_02113,mobile;native-ipv6;ipv6;464xlat;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;t-mobile;system-v5
node_02114,fibre;ixp;nat64;ipv4;ipv6;multihomed;464xlat;isp;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;4g;system-ipv6-stable-30d;system-ipv6-stable-1d;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv6-stable-90d;system-ipv4-stable-1d;5g;system-v5
node_02115,mobile;home;nat;free;system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv6-works;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;system-ipv6-stable-1d;system-ipv4-stable-1d;system-v5
node_02116,system-resolves-a-correctly;system-resolves-aaaa-correctly;system-ipv4-works;system-ipv4-capable;system-ipv4-rfc1918;system-ipv4-stable-30d;system-ipv4-stable-90d;system-ipv4-stable-1d;5g;system-v5;verizon-home-internet
node_02117,home;nat;dual-stack;ipv6;wireless-isp;isp;system-ipv4-capable;system-ipv6-capable;system-ipv4-rfc1918;4g;telstra;system-v5;as1221
